isco4,exp_mean,exp_sd,mean_minus_sd,gradient,gradient_label
5211,0.35,0.17,0.17999999999999997,1,Gradient 1: Low
8322,0.28,0.23,0.05000000000000002,1,Gradient 1: Low
3522,0.45,0.04,0.41000000000000003,2,Gradient 2: Medium
2422,0.42,0.06,0.36,2,Gradient 2: Medium
2164,0.41,0.06,0.35,2,Gradient 2: Medium
2265,0.41,0.07,0.33999999999999997,2,Gradient 2: Medium
1223,0.4,0.06,0.34,2,Gradient 2: Medium
1222,0.39,0.05,0.34,1,Gradient 1: Low
2113,0.39,0.1,0.29000000000000004,1,Gradient 1: Low
3323,0.39,0.08,0.31,1,Gradient 1: Low
3333,0.39,0.09,0.30000000000000004,1,Gradient 1: Low
1112,0.38,0.08,0.3,1,Gradient 1: Low
1120,0.38,0.06,0.32,1,Gradient 1: Low
1321,0.38,0.11,0.27,1,Gradient 1: Low
1324,0.38,0.05,0.33,1,Gradient 1: Low
1349,0.38,0.07,0.31,1,Gradient 1: Low
2133,0.38,0.04,0.34,1,Gradient 1: Low
2143,0.38,0.07,0.31,1,Gradient 1: Low
3114,0.38,0.11,0.27,1,Gradient 1: Low
1114,0.37,0.06,0.31,1,Gradient 1: Low
1211,0.37,0.04,0.33,1,Gradient 1: Low
1344,0.37,0.07,0.3,1,Gradient 1: Low
2141,0.37,0.07,0.3,1,Gradient 1: Low
2161,0.37,0.08,0.29,1,Gradient 1: Low
2162,0.37,0.08,0.29,1,Gradient 1: Low
2310,0.37,0.12,0.25,1,Gradient 1: Low
2619,0.37,0.09,0.28,1,Gradient 1: Low
2654,0.37,0.07,0.3,1,Gradient 1: Low
3422,0.37,0.12,0.25,1,Gradient 1: Low
3432,0.37,0.08,0.29,1,Gradient 1: Low
4321,0.37,0.06,0.31,1,Gradient 1: Low
1212,0.36,0.05,0.31,1,Gradient 1: Low
1342,0.36,0.05,0.31,1,Gradient 1: Low
1345,0.36,0.1,0.26,1,Gradient 1: Low
1412,0.36,0.12,0.24,1,Gradient 1: Low
2114,0.36,0.1,0.26,1,Gradient 1: Low
2611,0.36,0.09,0.27,1,Gradient 1: Low
3359,0.36,0.1,0.26,1,Gradient 1: Low
5222,0.36,0.12,0.24,1,Gradient 1: Low
1322,0.35,0.11,0.24,1,Gradient 1: Low
2145,0.35,0.12,0.22999999999999998,1,Gradient 1: Low
2163,0.35,0.09,0.26,1,Gradient 1: Low
2320,0.35,0.12,0.22999999999999998,1,Gradient 1: Low
2354,0.35,0.09,0.26,1,Gradient 1: Low
2355,0.35,0.1,0.24999999999999997,1,Gradient 1: Low
3118,0.35,0.11,0.24,1,Gradient 1: Low
3122,0.35,0.13,0.21999999999999997,1,Gradient 1: Low
3334,0.35,0.09,0.26,1,Gradient 1: Low
3521,0.35,0.11,0.24,1,Gradient 1: Low
1323,0.34,0.06,0.28,1,Gradient 1: Low
1343,0.34,0.09,0.25,1,Gradient 1: Low
2353,0.34,0.11,0.23000000000000004,1,Gradient 1: Low
3155,0.34,0.1,0.24000000000000002,1,Gradient 1: Low
2262,0.33,0.09,0.24000000000000002,1,Gradient 1: Low
2359,0.33,0.1,0.23,1,Gradient 1: Low
3412,0.33,0.13,0.2,1,Gradient 1: Low
1431,0.32,0.1,0.22,1,Gradient 1: Low
2230,0.32,0.11,0.21000000000000002,1,Gradient 1: Low
3351,0.32,0.14,0.18,1,Gradient 1: Low
5113,0.32,0.11,0.21000000000000002,1,Gradient 1: Low
8219,0.32,0.17,0.15,1,Gradient 1: Low
2655,0.31,0.15,0.16,1,Gradient 1: Low
3135,0.31,0.13,0.18,1,Gradient 1: Low
3154,0.31,0.09,0.22,1,Gradient 1: Low
3212,0.31,0.16,0.15,1,Gradient 1: Low
7515,0.31,0.16,0.15,1,Gradient 1: Low
7543,0.31,0.11,0.2,1,Gradient 1: Low
1341,0.3,0.15,0.15,1,Gradient 1: Low
2222,0.3,0.15,0.15,1,Gradient 1: Low
3213,0.3,0.12,0.18,1,Gradient 1: Low
3259,0.3,0.15,0.15,1,Gradient 1: Low
5161,0.3,0.16,0.13999999999999999,1,Gradient 1: Low
9629,0.29,0.14,0.14999999999999997,1,Gradient 1: Low
2264,0.28,0.14,0.14,1,Gradient 1: Low
5131,0.28,0.16,0.12000000000000002,1,Gradient 1: Low
8171,0.28,0.14,0.14,1,Gradient 1: Low
8212,0.28,0.19,0.09000000000000002,1,Gradient 1: Low
1311,0.27,0.13,0.14,1,Gradient 1: Low
5153,0.27,0.16,0.11000000000000001,1,Gradient 1: Low
8211,0.27,0.17,0.1,1,Gradient 1: Low
5112,0.25,0.17,0.07999999999999999,1,Gradient 1: Low
5322,0.25,0.18,0.07,1,Gradient 1: Low
8321,0.25,0.17,0.07999999999999999,1,Gradient 1: Low
5245,0.24,0.16,0.07999999999999999,1,Gradient 1: Low
8332,0.24,0.22,0.01999999999999999,1,Gradient 1: Low
3221,0.22,0.21,0.010000000000000009,1,Gradient 1: Low
1213,0.36,0.04,0.32,1,Gradient 1: Low
2144,0.32,0.07,0.25,1,Gradient 1: Low
3116,0.32,0.02,0.3,1,Gradient 1: Low
1111,0.31,0.04,0.27,1,Gradient 1: Low
2151,0.31,0.08,0.22999999999999998,1,Gradient 1: Low
2612,0.31,0.08,0.22999999999999998,1,Gradient 1: Low
2142,0.3,0.06,0.24,1,Gradient 1: Low
2149,0.3,0.08,0.21999999999999997,1,Gradient 1: Low
2330,0.3,0.07,0.22999999999999998,1,Gradient 1: Low
2132,0.29,0.1,0.18999999999999997,1,Gradient 1: Low
2146,0.29,0.05,0.24,1,Gradient 1: Low
2211,0.29,0.1,0.18999999999999997,1,Gradient 1: Low
3121,0.29,0.08,0.20999999999999996,1,Gradient 1: Low
3133,0.29,0.1,0.18999999999999997,1,Gradient 1: Low
3134,0.29,0.11,0.18,1,Gradient 1: Low
3152,0.29,0.11,0.18,1,Gradient 1: Low
2263,0.28,0.05,0.23000000000000004,1,Gradient 1: Low
