country_name,exposure_g4,isco4_share,isco6_share
Japan,6.777239281197482,20.288818987703745,2.6737203317128966
Puerto Rico,5.894396328232325,16.887326174165395,0.849442756613227
Isle of Man,5.416494537763267,15.842059755980403,0
Germany,4.896525203107359,12.85359494867481,1.2608419166711853
Djibouti,4.796354013357401,12.927709032613595,1.9262561995891991
Switzerland,4.703425284254702,12.165282793345904,2.1596067463273165
Italy,4.5592496367044095,12.1003428676869,2.138945149527015
Republic of Korea,4.546256244283531,12.338337581900086,5.074130062169649
Wallis and Futuna,4.473961830492722,12.231696559835342,0.9997059688326964
"Hong Kong, China",4.445949831402449,11.926281347618911,0
Argentina,4.4017831271295025,11.748229961553607,0.2368107166549253
Belgium,4.3746672304980905,11.14149203231382,1.1285432835325797
Curaçao,4.348427291376763,11.415418227215982,0.19116729088639203
Greece,4.314529613074631,11.12982510834937,10.137138378999788
Palau,4.145274889326786,10.832804903825831,3.8786725850771515
