country_name,exposure_g4,exposure_g3_g4,isco4_share,isco6_share,year,total_emp
Brazil,3.394349339021716,8.964811986503312,8.446351971471271,4.601587367644534,2024,101787.636
Brunei Darussalam,4.129624504503365,11.734239726829705,10.38587259110257,0.9137197147937284,2024,222.716
Bulgaria,2.9301834903266943,9.460717818190528,6.30713659319632,2.250549288686494,2024,2932.884
Burkina Faso,0.7721589386759447,2.286086409101875,0.5440908993970709,54.318630273597954,2024,7877.544000000001
Burundi,0.2626163584163733,0.7758540883306912,0.34130312914024596,82.17780748420208,2020,4953.661
Cabo Verde,2.4235388095066153,5.979580274838988,5.4337445766778965,8.376760307341783,2019,206.28500000000003
Cambodia,1.3942488566564253,3.006796971183847,2.5706287943470314,28.83172804416433,2023,9756.29
Cameroon,1.1896407061502288,3.2620199370993066,2.7488452700827013,40.12884286592679,2021,9250.648000000001
Cayman Islands,3.465531791386975,10.074124638399931,8.015600143685536,1.90126751167445,2015,38.974
Chad,0.7349509558669566,1.509762015743373,1.2070555857981007,71.37675406762233,2018,4232.448
Chile,2.63397124446581,8.390357368953637,5.102443449015995,2.312973111448726,2024,9263.013
Colombia,2.654856149997327,7.036019703529811,6.187375461779831,5.531334349065549,2024,23035.599
Comoros,2.6977493823128915,6.522171991535153,7.490285177957228,40.39649064572806,2021,174.73299999999998
"Congo, Democratic Republic of the",0.550560817006827,1.8499248718233658,0.5075988341620369,73.8897313172878,2020,30597.391000000003
Cook Islands,2.6916986318388543,7.64538395841131,5.242171924475197,3.8700598100152463,2023,8.527
Costa Rica,3.375979980509717,9.09463292579525,8.272423581383885,2.761384069148693,2024,2191.2200000000003
Croatia,3.6797864027410783,11.381484552524544,8.77806825914121,2.3402451981043106,2024,1675.38
Curaçao,4.348427291376763,11.48854582116595,11.415418227215982,0.19116729088639203,2020,51.263999999999996
Cyprus,4.044561423164198,12.43079453760869,9.918763963727164,1.5251264949402021,2024,486.97600000000006
Czechia,3.1380657628232003,10.396698051850162,6.903067858969697,1.411192785786039,2024,5192.416
Côte d'Ivoire,1.5541718162836156,2.868719685099502,2.482909784669857,47.0025846021896,2022,11491.517
Denmark,3.5355125229537725,12.663214582616481,7.150557588557986,1.5100216413516698,2024,2996.116
Djibouti,4.796354013357401,11.937235551202875,12.927709032613595,1.9262561995891991,2017,79.844
Dominican Republic,3.42493390886151,8.05371539515122,8.768354842034695,4.440819043250988,2024,5006.036
Ecuador,1.5326815273002392,4.139326125624394,2.8153555359358733,20.624998103767886,2024,8240.025000000001
Egypt,2.1847841584596392,6.3458722340208675,4.687485694622995,17.169980925272952,2024,29927.558
El Salvador,2.4693190315468576,5.6494396107749205,5.209897583702985,7.203993349846728,2023,2946.6989999999996
Estonia,3.0895415478214847,10.957301297370856,6.8098509905547795,1.3336686330003071,2024,703.848
Eswatini,1.9513545525657636,5.472135790365637,3.3762043223436544,7.93599431222598,2023,219.418
Ethiopia,0.5478546940804848,1.309766043432584,0.5458345085238417,51.35772795431953,2021,36561.448000000004
Fiji,2.562650050624719,6.925435178152685,6.259697029535389,24.105365768036087,2024,319.041
Finland,2.89803992056814,10.970376195537149,4.964039659085677,2.826226309328953,2024,2584.931
France,3.5714787557367864,12.128847127493064,8.061030844660605,2.4888513641777963,2024,28736.027000000006
Gambia,1.2115055898819462,2.8499849997499402,0.8905734008992383,25.402362667163032,2023,623.1940000000001
Georgia,1.8638873056275662,6.017978336004047,3.9899713467048707,39.59465059556229,2020,1689.16
Germany,4.896525203107359,14.743990503452068,12.85359494867481,1.2608419166711853,2024,42324.73500000001
Ghana,1.272701331251701,2.9278816644375016,1.5776832354046026,35.89059033659605,2022,11287.12
Greece,4.314529613074631,12.200009464090952,11.12982510834937,10.137138378999788,2024,4208.377
Grenada,1.9081349264442917,4.772270870079803,4.260738017272744,5.497788246107888,2023,52.221000000000004
Guatemala,1.6675840267049102,3.6953484461270807,3.4740065829340883,10.314877813872878,2023,7784.067
Guinea,1.2801748639268435,2.719606801912144,1.1642771075459948,39.32091726210988,2019,3189.3609999999994
Guinea-Bissau,0.9042362522341397,2.1184144190473204,1.3737657682982536,39.58044906707895,2022,711.475
Guyana,2.339520401493683,5.946737628775206,4.837850879382353,8.857468510291353,2019,240.396
Honduras,1.7153164212261005,4.007383050271894,2.791640694306797,9.103985898822149,2024,3790.889
"Hong Kong, China",4.445949831402449,11.60953348861658,11.926281347618911,0,2024,3684.9289999999996
Hungary,3.422426072771465,10.98853062514767,8.029617889853673,2.526331597089287,2024,4714.583
Iceland,2.3786371198601066,9.787564385845188,3.419714470442274,2.7194331347091407,2024,228.908
India,1.1311046462227576,3.041945275424887,2.277281495048289,35.22997935130553,2024,482793.23500000004
Indonesia,1.9905425247610729,4.537644852894445,4.153441891611727,21.621877019050313,2023,139242.44400000002
Iran (Islamic Republic of),1.8796030284743102,5.768168011507734,3.8217880598389327,10.894885052622072,2023,23738.993
Iraq,1.615311409421882,5.7486544958000385,1.862040785072951,8.625422796307184,2021,8462.704
Ireland,3.7124604487854174,12.438182670654726,8.57346319261353,3.219668157662502,2024,2741.121000000001
Isle of Man,5.416494537763267,14.225829643659187,15.842059755980403,0,2016,41.635999999999996
Israel,3.380217611950801,12.704314539541151,6.512554902530819,0.7375747420857854,2024,4072.6720000000005
Italy,4.5592496367044095,12.552027824472589,12.1003428676869,2.138945149527015,2024,23932.264000000003
Jamaica,3.611078047228989,8.50180282704518,9.784574203009981,14.582176469750689,2022,1264.194
Japan,6.777239281197482,15.872184230798748,20.288818987703745,2.6737203317128966,2024,69940
Jordan,2.5147035304884033,7.041266816547815,3.6316564421633224,1.8461113905021957,2023,2754.005
Kenya,0.7318558172985785,2.378039037885134,0.9758053720203987,35.441099309639846,2022,16785.007
Kiribati,1.7715909713996942,5.0330461889143665,3.3315552107075312,7.211095485185005,2023,41.242000000000004
Kosovo,3.288501650102553,9.396421254300675,7.407512268780672,2.8706587391468483,2024,423.84
