isco_1d,avg_mean,avg_sd,share_gradient_4,share_gradient_3_4,n_occupations,n_gradient_4,n_gradient_3_4
1,0.361,0.08433333333333333,0,0,30,0,0
2,0.38630434782608697,0.09032608695652174,0.021739130434782608,0.20652173913043478,92,2,19
3,0.34597560975609754,0.1001219512195122,0.024390243902439025,0.12195121951219512,82,2,10
4,0.5355172413793103,0.0993103448275862,0.27586206896551724,0.5517241379310345,29,8,16
5,0.2556410256410257,0.11128205128205128,0.02564102564102564,0.02564102564102564,39,1,1
6,0.1638888888888889,0.08944444444444445,0,0,18,0,0
7,0.16584615384615387,0.06076923076923078,0,0,65,0,0
8,0.19794871794871793,0.07692307692307693,0,0,39,0,0
9,0.14909090909090908,0.05363636363636363,0,0,33,0,0
